CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Class,Customer_Segment
12346.0,326,1,77183.6,1,1,5,115,Lost
12347.0,2,7,4310.0,5,5,5,555,Champions
12348.0,75,4,1797.24,2,4,4,244,At Risk / Churning
12349.0,19,1,1757.55,4,1,4,414,New/Promising
12350.0,310,1,334.4,1,1,2,112,Lost
12352.0,36,8,2506.04,3,5,5,355,Loyal Customers
12353.0,204,1,89.0,1,1,1,111,Lost
12354.0,232,1,1079.4,1,1,4,114,Lost
12355.0,214,1,459.4,1,1,2,112,Lost
12356.0,23,3,2811.43,4,3,5,435,Loyal Customers
12357.0,33,1,6207.67,4,1,5,415,New/Promising
12358.0,2,2,1168.06,5,2,4,524,New/Promising
12359.0,58,4,6372.58,3,4,5,345,Loyal Customers
12360.0,52,3,2662.06,3,3,5,335,Loyal Customers
12361.0,287,1,189.9,1,1,1,111,Lost
12362.0,3,10,5226.23,5,5,5,555,Champions
12363.0,110,2,552.0,2,2,3,223,Lost
12364.0,8,4,1313.1,5,4,4,544,Champions
12365.0,291,2,641.38,1,2,3,123,Lost
12367.0,4,1,168.9,5,1,1,511,New/Promising
12370.0,51,4,3545.69,3,4,5,345,Loyal Customers
12371.0,45,2,1887.96,3,2,4,324,Needs Attention
12372.0,72,3,1298.04,3,3,4,334,Loyal Customers
12373.0,311,1,364.6,1,1,2,112,Lost
12374.0,25,1,742.9300000000001,4,1,3,413,New/Promising
12375.0,11,2,457.5,5,2,2,522,New/Promising
12377.0,315,2,1628.12,1,2,4,124,Lost
12378.0,130,1,4008.62,2,1,5,215,Lost
12379.0,82,2,852.24,2,2,3,223,Lost
12380.0,22,4,2724.81,4,4,5,445,Champions
12381.0,5,5,1845.31,5,4,4,544,Champions
12383.0,185,5,1850.56,1,4,4,144,At Risk / Churning
12384.0,29,2,585.27,4,2,3,423,New/Promising
12386.0,338,2,401.9,1,2,2,122,Lost
12388.0,16,6,2780.66,4,4,5,445,Champions
12390.0,80,1,549.84,2,1,3,213,Lost
12391.0,22,1,460.89,4,1,2,412,New/Promising
12393.0,72,4,1582.6000000000001,3,4,4,344,Loyal Customers
12394.0,64,2,1272.48,3,2,4,324,Needs Attention
