transaction_id,user_id,plan_tier,monthly_spend,api_calls,response_latency_ms,error_flag
TXN_100000,202,Free,0.0,12619,90.402691732604,0
TXN_100001,535,Premium,0.0,6999,159.10953558192477,0
TXN_100002,960,Premium,29.99,10790,55.78139824274953,0
TXN_100003,370,Enterprise,29.99,9985,90.00825700739253,0
TXN_100004,206,Free,0.0,9176,110.05293727882143,0
TXN_100005,171,Free,0.0,9200,80.95229277086608,0
TXN_100006,800,Enterprise,29.99,6377,146.0613512104056,0
TXN_100007,120,Premium,0.0,13118,145.36268631707463,0
TXN_100008,714,Free,0.0,10046,88.12981438383723,0
TXN_100009,221,Free,0.0,8413,38.31600780173295,0
TXN_100010,566,Free,499.0,9286,148.2089043495532,0
TXN_100011,314,Premium,29.99,10573,123.5942397315926,0
TXN_100012,430,Premium,0.0,8398,98.15837346870357,0
TXN_100013,558,Free,0.0,8334,93.96296822430904,1
TXN_100014,187,Premium,29.99,7247,88.32867039614584,0
TXN_100015,472,Premium,499.0,10495,158.1338290951631,0
TXN_100016,199,Premium,29.99,6424,104.87066956610268,0
TXN_100017,971,Premium,0.0,8180,182.08988676304082,0
TXN_100018,763,Enterprise,0.0,8788,226.70731983056538,0
TXN_100019,230,Free,499.0,5942,149.8288769043415,0
TXN_100020,761,Enterprise,0.0,5097,221.55978560277316,0
TXN_100021,408,Free,29.99,4575,151.6824180076078,0
TXN_100022,869,Free,0.0,8141,103.67765826967914,0
TXN_100023,443,Free,0.0,8412,193.76116138170082,0
TXN_100024,591,Free,0.0,15508,112.87743758716856,0
TXN_100025,513,Free,29.99,6719,229.4297215099327,1
TXN_100026,905,Free,0.0,9264,97.1315680570531,0
TXN_100027,485,Enterprise,0.0,12311,161.9343042696412,0
TXN_100028,291,Free,0.0,9876,120.24936705852907,0
TXN_100029,376,Premium,0.0,8969,71.92782235904915,0
TXN_100030,260,Free,0.0,11588,79.78282221018132,0
TXN_100031,559,Enterprise,0.0,10746,11.874300943138053,0
TXN_100032,413,Premium,0.0,5444,117.035944066053,0
TXN_100033,121,Free,499.0,6119,143.4546962983123,0
TXN_100034,352,Premium,29.99,5537,22.596739320579474,0
TXN_100035,847,Premium,0.0,7778,-20.309132888598157,0
TXN_100036,956,Premium,0.0,13194,79.74641658198124,0
TXN_100037,660,Premium,29.99,15530,124.55961292843824,0
TXN_100038,574,Premium,0.0,10796,75.08620668444354,0
TXN_100039,158,Premium,0.0,12516,126.9569989336583,0
TXN_100040,610,Free,29.99,10169,93.62847081050262,0
TXN_100041,781,Free,499.0,11787,57.086025104498425,0
TXN_100042,575,Enterprise,29.99,16093,152.4379841374976,0
TXN_100043,799,Free,0.0,6118,133.89543631258874,0
TXN_100044,882,Free,499.0,8742,103.01066828767165,0
TXN_100045,289,Free,0.0,8001,35.483779286311986,0
TXN_100046,786,Free,499.0,9355,95.39836950766076,0
TXN_100047,662,Unknown,0.0,11325,79.07946497128894,0
