Strategy,Entry Time,Exit Time,Type,Lots,Entry Price,Exit Price,RR,PnL,Balance
LONDON_BREAKOUT,09/09/2025 06:25,09/09/2025 06:35,BUY,0.02,3638.609,3643.901,2,10.58,510.58
RSI_REVERSION,09/09/2025 13:30,09/09/2025 13:55,SELL,0.01,3663.623,3667.769351,2.91,-4.15,506.44
VWAP_REVERSION,09/09/2025 13:55,09/09/2025 14:00,SELL,0.01,3666.057,3670.121631,4.14,-4.06,502.37
SMC_CHOCH,09/09/2025 22:25,09/09/2025 22:50,SELL,0.01,3624.063,3634.63484,2,-10.57,491.8
RSI_REVERSION,10/09/2025 00:45,10/09/2025 01:50,BUY,0.01,3623.297,3630.321286,1.56,7.02,498.83
SMC_CHOCH,10/09/2025 01:50,10/09/2025 09:45,BUY,0.01,3631.568,3651.584549,2,20.02,518.84
VWAP_REVERSION,10/09/2025 09:45,10/09/2025 19:30,SELL,0.01,3654.331,3636.972713,4.5,17.36,536.2
SMC_FVG,10/09/2025 22:15,11/09/2025 00:00,BUY,0.01,3638.604,3646.302588,2,7.7,543.9
SMC_CHOCH,11/09/2025 01:10,11/09/2025 02:20,BUY,0.01,3646.218,3639.388715,2,-6.83,537.07
VWAP_REVERSION,11/09/2025 03:05,11/09/2025 05:30,BUY,0.01,3632.414,3629.248444,3.19,-3.17,533.9
SMC_CHOCH,11/09/2025 05:55,11/09/2025 06:40,SELL,0.01,3625.068,3636.813573,2,-11.75,522.16
SMC_CHOCH,11/09/2025 08:00,11/09/2025 09:00,BUY,0.01,3631.459,3622.849551,2,-8.61,513.55
SMC_CHOCH,11/09/2025 12:25,11/09/2025 12:30,BUY,0.01,3623.742,3614.161672,2,-9.58,503.97
SMC_CHOCH,11/09/2025 22:10,12/09/2025 00:20,BUY,0.01,3636.818,3631.256397,2,-5.56,498.41
SMC_FVG,12/09/2025 00:40,12/09/2025 01:00,SELL,0.01,3633.666,3639.417775,2,-5.75,492.66
VWAP_REVERSION,12/09/2025 01:35,12/09/2025 02:20,SELL,0.01,3646.061,3649.645428,2.25,-3.58,489.07
SMC_CHOCH,12/09/2025 02:30,12/09/2025 08:50,BUY,0.01,3649.319,3640.992589,2,-8.33,480.74
RSI_REVERSION,12/09/2025 12:30,12/09/2025 13:00,BUY,0.02,3639.234,3645.944929,2.24,13.42,494.17
SMC_FVG,14/09/2025 22:25,15/09/2025 00:00,SELL,0.01,3642.442,3636.547395,2,5.89,500.06
SMC_CHOCH,15/09/2025 00:35,15/09/2025 02:35,SELL,0.01,3633.764,3645.188869,2,-11.42,488.64
VWAP_REVERSION,15/09/2025 12:55,15/09/2025 13:20,SELL,0.02,3650.255,3653.215547,3.34,-5.92,482.71
SMC_FVG,15/09/2025 16:35,16/09/2025 06:45,BUY,0.01,3677.621,3691.812251,2,14.19,496.91
VWAP_REVERSION,16/09/2025 14:20,16/09/2025 14:45,SELL,0.02,3700.201,3688.789019,3.52,22.82,519.73
SMC_CHOCH,16/09/2025 23:00,17/09/2025 01:20,BUY,0.01,3693.302,3688.398323,2,-4.9,514.83
VWAP_REVERSION,17/09/2025 01:30,17/09/2025 01:35,BUY,0.01,3681.792,3679.057302,3.18,-2.73,512.09
SMC_FVG,17/09/2025 02:55,17/09/2025 05:35,BUY,0.01,3682.154,3678.224692,1.7,-3.93,508.16
SMC_CHOCH,17/09/2025 22:10,18/09/2025 05:50,BUY,0.01,3663.359,3649.943893,2,-13.42,494.75
SMC_FVG,18/09/2025 08:05,18/09/2025 08:55,BUY,0.01,3654.982,3665.459184,2,10.48,505.22
SMC_CHOCH,18/09/2025 22:00,19/09/2025 01:05,SELL,0.01,3642.994,3648.043667,2,-5.05,500.17
RSI_REVERSION,19/09/2025 01:05,19/09/2025 01:50,SELL,0.01,3649.776,3640.0835,2.75,9.69,509.87
SMC_FVG,19/09/2025 02:15,19/09/2025 04:05,BUY,0.01,3644.35,3658.13368,2,13.78,523.65
VWAP_REVERSION,19/09/2025 13:55,19/09/2025 14:50,SELL,0.02,3663.239,3666.645931,3.69,-6.81,516.84
SMC_CHOCH,21/09/2025 22:15,22/09/2025 05:40,BUY,0.01,3686.906,3699.250484,2,12.34,529.18
SMC_FVG,22/09/2025 08:55,22/09/2025 12:20,BUY,0.01,3720.403,3715.553938,2,-4.85,524.33
SMC_CHOCH,22/09/2025 12:30,22/09/2025 12:50,SELL,0.01,3716.889,3722.478183,2,-5.59,518.74
SMC_FVG,22/09/2025 13:50,22/09/2025 14:50,SELL,0.01,3720.118,3724.493545,2,-4.38,514.37
SMC_CHOCH,22/09/2025 22:10,23/09/2025 01:05,SELL,0.01,3744.935,3750.898801,2,-5.96,508.4
RSI_REVERSION,23/09/2025 01:10,23/09/2025 01:25,SELL,0.01,3754.592,3748.711571,1.62,5.88,514.28
RSI_REVERSION,23/09/2025 05:30,23/09/2025 05:45,SELL,0.01,3753.836,3757.545062,1.88,-3.71,510.58
VWAP_REVERSION,23/09/2025 08:35,23/09/2025 08:45,SELL,0.01,3767.65,3771.432384,4.65,-3.78,506.79
SMC_CHOCH,23/09/2025 11:10,23/09/2025 11:25,SELL,0.01,3780.363,3788.57111,2,-8.21,498.59
SMC_FVG,23/09/2025 11:50,23/09/2025 13:40,SELL,0.01,3783.729,3788.402138,2,-4.67,493.91
BB_BREAKOUT,23/09/2025 13:50,23/09/2025 13:55,SELL,0.01,3778.598,3783.002016,2,-4.4,489.51
LIQUIDITY_SWEEP,23/09/2025 22:20,24/09/2025 01:25,BUY,0.01,3762.978,3758.300007,2,-4.68,484.83
SMC_CHOCH,24/09/2025 01:40,24/09/2025 03:40,SELL,0.01,3760.084,3765.119952,2,-5.04,479.79
SMC_CHOCH,25/09/2025 00:00,25/09/2025 01:35,BUY,0.01,3745.788,3738.29432,2,-7.49,472.3
SMC_FVG,25/09/2025 01:50,25/09/2025 02:05,BUY,0.01,3735.978,3731.5698,2,-4.41,467.89
RSI_REVERSION,25/09/2025 23:15,26/09/2025 00:00,BUY,0.01,3738.454,3747.946929,1.86,9.49,477.38
SMC_CHOCH,26/09/2025 00:25,26/09/2025 01:05,SELL,0.01,3741.887,3752.757065,2,-10.87,466.51
RSI_REVERSION,26/09/2025 13:05,26/09/2025 13:15,SELL,0.01,3761.621,3765.381118,2.38,-3.76,462.75
VWAP_REVERSION,26/09/2025 13:15,26/09/2025 14:00,SELL,0.01,3762.284,3766.798099,3.21,-4.51,458.24
SMC_FVG,26/09/2025 15:05,26/09/2025 19:30,BUY,0.01,3775.055,3770.17361,2,-4.88,453.36
SMC_CHOCH,28/09/2025 22:55,29/09/2025 00:45,BUY,0.01,3770.583,3785.455078,2,14.87,468.23
VWAP_REVERSION,29/09/2025 04:35,29/09/2025 05:05,SELL,0.01,3806.157,3811.012099,4.51,-4.86,463.38
SMC_FVG,29/09/2025 05:40,29/09/2025 06:15,BUY,0.01,3803.804,3817.879909,2,14.08,477.45
SMC_FVG,29/09/2025 08:20,29/09/2025 11:15,BUY,0.01,3811.392,3822.594302,2,11.2,488.65
SMC_CHOCH,29/09/2025 11:15,29/09/2025 13:00,BUY,0.01,3822.391,3811.110176,2,-11.28,477.37
SMC_OB,29/09/2025 22:15,30/09/2025 00:05,BUY,0.01,3828.616,3839.035987,2,10.42,487.79
RSI_REVERSION,30/09/2025 00:10,30/09/2025 01:00,SELL,0.01,3838.558,3842.881873,1.69,-4.32,483.47
VWAP_REVERSION,30/09/2025 01:20,30/09/2025 03:10,SELL,0.01,3847.402,3851.99465,1.87,-4.59,478.88
SMC_CHOCH,30/09/2025 04:55,30/09/2025 06:50,BUY,0.01,3867.088,3858.574237,2,-8.51,470.36
SMC_OB,30/09/2025 08:30,30/09/2025 08:35,BUY,0.01,3816.636,3810.412589,2.02,-6.22,464.14
SMC_CHOCH,30/09/2025 09:10,30/09/2025 13:45,SELL,0.01,3799.537,3828.549312,2,-29.01,435.13
SMC_FVG,30/09/2025 13:55,30/09/2025 14:05,BUY,0.01,3824.163,3837.231108,2,13.07,448.2
SMC_FVG,30/09/2025 15:15,01/10/2025 01:40,BUY,0.01,3836.278,3865.912571,2,29.63,477.83
SMC_CHOCH,01/10/2025 01:40,01/10/2025 02:50,BUY,0.01,3865.978,3858.832464,2,-7.15,470.68
VWAP_REVERSION,01/10/2025 08:00,01/10/2025 08:15,SELL,0.01,3884.724,3890.373418,3.55,-5.65,465.04
VWAP_REVERSION,01/10/2025 22:20,02/10/2025 01:00,BUY,0.01,3860.173,3855.27694,2.45,-4.9,460.14
SMC_CHOCH,02/10/2025 01:40,02/10/2025 10:20,BUY,0.01,3863.204,3882.139097,2,18.94,479.07
SMC_FVG,02/10/2025 11:25,02/10/2025 12:05,BUY,0.01,3883.6,3891.896945,2,8.3,487.37
SMC_CHOCH,02/10/2025 13:00,02/10/2025 13:50,BUY,0.01,3889.658,3876.707455,2,-12.95,474.42
SMC_CHOCH,02/10/2025 15:35,02/10/2025 16:45,SELL,0.01,3822.981,3845.167674,2,-22.19,452.23
SMC_FVG,02/10/2025 22:10,03/10/2025 03:25,BUY,0.01,3853.29,3840.413936,2,-12.88,439.36
VWAP_REVERSION,03/10/2025 03:25,03/10/2025 05:15,BUY,0.01,3839.924,3854.140443,3.01,14.22,453.57
SMC_OB,05/10/2025 22:20,05/10/2025 23:00,BUY,0.01,3891.86,3916.41516,2,24.56,478.13
RSI_REVERSION,05/10/2025 23:00,06/10/2025 02:00,SELL,0.01,3917.345,3922.534188,4.58,-5.19,472.94
SMC_FVG,06/10/2025 02:20,06/10/2025 04:35,BUY,0.01,3920.703,3935.879565,2,15.18,488.12
SMC_CHOCH,06/10/2025 04:35,06/10/2025 06:05,BUY,0.01,3936.124,3923.324324,2,-12.8,475.32
SMC_FVG,06/10/2025 07:20,06/10/2025 08:00,BUY,0.01,3930.227,3945.297285,2,15.07,490.39
SMC_FVG,06/10/2025 09:20,06/10/2025 10:05,BUY,0.01,3940.035,3933.183162,2,-6.85,483.54
VWAP_REVERSION,06/10/2025 10:35,06/10/2025 12:30,SELL,0.01,3943.558,3928.683791,2.82,14.87,498.41
RSI_REVERSION,06/10/2025 14:30,06/10/2025 15:55,SELL,0.01,3954.601,3960.545335,1.77,-5.94,492.47
