Year (July 1),Population,Yearly % Change,Yearly Change,Median Age,Fertility Rate,Density (P/KmÂ²)
2026,8300678395.0,0.84,69065325.0,31.1,2.23,56.0
2025,8231613070.0,0.85,69640498.0,30.9,2.24,55.0
2024,8161972572.0,0.87,70237642.0,30.6,2.25,55.0
2023,8091734930.0,0.88,70327738.0,30.4,2.25,54.0
2022,8021407192.0,0.84,66958801.0,30.1,2.27,54.0
2021,7954448391.0,0.86,67447099.0,29.8,2.29,53.0
2020,7887001292.0,1.09,83301884.0,29.6,2.32,53.0
2015,7470491872.0,1.25,89751945.0,28.3,2.54,50.0
2010,7021732148.0,1.29,86952403.0,27.2,2.6,47.0
2005,6586970132.0,1.31,83053428.0,26.1,2.63,44.0
2000,6171702993.0,1.39,82564802.0,25.1,2.75,41.0
1995,5758878982.0,1.57,86215174.0,24.0,2.89,39.0
1990,5327803110.0,1.82,91771929.0,22.9,3.31,36.0
1985,4868943465.0,1.83,84267446.0,22.0,3.52,33.0
1980,4447606236.0,1.79,75374192.0,21.5,3.74,30.0
1975,4070735277.0,1.96,75210297.0,20.7,4.08,27.0
1970,3694683794.0,2.07,72030018.0,20.3,4.83,25.0
1965,3334533703.0,2.03,63812562.0,20.8,5.07,22.0
1960,3015470894.0,1.93,55051420.0,21.5,4.7,20.0
1955,2740213792.0,1.91,49424189.0,21.8,5.0,18.0
